department_id,title,directory_url,reviewed_at,review_notes
bme,Biomedical Engineering,https://www.cmu.edu/bme/People/Faculty/,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
cheme,Chemical Engineering,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
civil,Civil & Environmental Engineering,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
cmu-africa,CMU-Africa,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
cmu-silicon-valley,CMU Silicon Valley,https://www.sv.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
ece,Electrical & Computer Engineering,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
epp,Engineering & Public Policy,https://epp.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
iii,Integrated Innovation Institute,https://www.cmu.edu/iii/people/faculty-staff/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
ini,Information Networking Institute,https://www.cmu.edu/ini/about/team/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
mech,Mechanical Engineering,https://www.meche.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
mse,Materials Science & Engineering,https://www.mse.engineering.cmu.edu/directory/,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
