map_slug,title,directory_url,reviewed_at,review_notes
map-of-bme,Biomedical Engineering Research,https://www.cmu.edu/bme/People/Faculty/,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-cheme,Chemical Engineering Research,https://www.cheme.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-civil,Civil & Environmental Engineering Research,https://cee.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-cmu-africa,CMU-Africa Research,https://www.africa.engineering.cmu.edu/about/contact/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-cmu-silicon-valley,CMU Silicon Valley Research,https://www.sv.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-ece,Electrical & Computer Engineering Research,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-eng,CMU Engineering Research,,,Aggregate of included memberships in all maps.
map-of-epp,Engineering & Public Policy Research,https://epp.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-iii,Integrated Innovation Institute Research,https://www.cmu.edu/iii/people/faculty-staff/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-ini,Information Networking Institute Research,https://www.cmu.edu/ini/about/team/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-mech,Mechanical Engineering Research,https://www.meche.engineering.cmu.edu/directory/index.html,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
map-of-mse,Materials Science & Engineering Research,https://www.mse.engineering.cmu.edu/directory/,2026-07-17,"Include faculty, teaching faculty, and emeriti; exclude affiliates."
